2025-03-05 13:10:41 - [INIT] with clock rate 1 and peers ['localhost:50050', 'localhost:50051'], [0, 1]
2025-03-05 13:10:43 - [SENT] to Machine 0, Logical clock: 0
2025-03-05 13:10:44 - [RECEIVED] from Machine 0, Logical clock: 2, Queue length: 0
2025-03-05 13:10:45 - [SENT] to Machine 0, Logical clock: 2
2025-03-05 13:10:46 - [SENT] to Machine 0, Logical clock: 3
2025-03-05 13:10:46 - [SENT] to Machine 1, Logical clock: 3
2025-03-05 13:10:47 - [RECEIVED] from Machine 1, Logical clock: 5, Queue length: 1
2025-03-05 13:10:48 - [RECEIVED] from Machine 1, Logical clock: 6, Queue length: 0
2025-03-05 13:10:49 - [RECEIVED] from Machine 1, Logical clock: 7, Queue length: 2
2025-03-05 13:10:50 - [RECEIVED] from Machine 1, Logical clock: 8, Queue length: 2
2025-03-05 13:10:51 - [RECEIVED] from Machine 1, Logical clock: 9, Queue length: 4
2025-03-05 13:10:52 - [RECEIVED] from Machine 1, Logical clock: 10, Queue length: 4
2025-03-05 13:10:53 - [RECEIVED] from Machine 1, Logical clock: 11, Queue length: 3
2025-03-05 13:10:54 - [RECEIVED] from Machine 1, Logical clock: 12, Queue length: 5
2025-03-05 13:10:55 - [RECEIVED] from Machine 1, Logical clock: 13, Queue length: 5
2025-03-05 13:10:56 - [RECEIVED] from Machine 1, Logical clock: 14, Queue length: 5
2025-03-05 13:10:57 - [RECEIVED] from Machine 1, Logical clock: 15, Queue length: 6
2025-03-05 13:10:58 - [RECEIVED] from Machine 1, Logical clock: 16, Queue length: 7
2025-03-05 13:10:59 - [RECEIVED] from Machine 1, Logical clock: 17, Queue length: 7
2025-03-05 13:11:00 - [RECEIVED] from Machine 1, Logical clock: 18, Queue length: 7
2025-03-05 13:11:02 - [RECEIVED] from Machine 1, Logical clock: 19, Queue length: 6
2025-03-05 13:11:03 - [RECEIVED] from Machine 1, Logical clock: 20, Queue length: 5
2025-03-05 13:11:04 - [RECEIVED] from Machine 1, Logical clock: 21, Queue length: 4
2025-03-05 13:11:05 - [RECEIVED] from Machine 1, Logical clock: 22, Queue length: 4
2025-03-05 13:11:06 - [RECEIVED] from Machine 1, Logical clock: 23, Queue length: 4
2025-03-05 13:11:07 - [RECEIVED] from Machine 1, Logical clock: 24, Queue length: 5
2025-03-05 13:11:08 - [RECEIVED] from Machine 1, Logical clock: 25, Queue length: 6
2025-03-05 13:11:09 - [RECEIVED] from Machine 1, Logical clock: 26, Queue length: 7
2025-03-05 13:11:10 - [RECEIVED] from Machine 1, Logical clock: 27, Queue length: 6
2025-03-05 13:11:11 - [RECEIVED] from Machine 1, Logical clock: 28, Queue length: 5
2025-03-05 13:11:12 - [RECEIVED] from Machine 1, Logical clock: 29, Queue length: 9
2025-03-05 13:11:13 - [RECEIVED] from Machine 1, Logical clock: 30, Queue length: 9
2025-03-05 13:11:14 - [RECEIVED] from Machine 1, Logical clock: 31, Queue length: 9
2025-03-05 13:11:15 - [RECEIVED] from Machine 1, Logical clock: 32, Queue length: 8
2025-03-05 13:11:16 - [RECEIVED] from Machine 1, Logical clock: 33, Queue length: 10
2025-03-05 13:11:17 - [RECEIVED] from Machine 1, Logical clock: 34, Queue length: 9
2025-03-05 13:11:18 - [RECEIVED] from Machine 1, Logical clock: 35, Queue length: 9
2025-03-05 13:11:19 - [RECEIVED] from Machine 1, Logical clock: 36, Queue length: 12
2025-03-05 13:11:20 - [RECEIVED] from Machine 1, Logical clock: 37, Queue length: 12
2025-03-05 13:11:21 - [RECEIVED] from Machine 1, Logical clock: 38, Queue length: 13
2025-03-05 13:11:22 - [RECEIVED] from Machine 1, Logical clock: 39, Queue length: 13
2025-03-05 13:11:23 - [RECEIVED] from Machine 1, Logical clock: 40, Queue length: 12
2025-03-05 13:11:24 - [RECEIVED] from Machine 1, Logical clock: 41, Queue length: 11
2025-03-05 13:11:25 - [RECEIVED] from Machine 1, Logical clock: 42, Queue length: 10
2025-03-05 13:11:26 - [RECEIVED] from Machine 1, Logical clock: 43, Queue length: 11
2025-03-05 13:11:27 - [RECEIVED] from Machine 1, Logical clock: 44, Queue length: 11
2025-03-05 13:11:28 - [RECEIVED] from Machine 1, Logical clock: 45, Queue length: 12
2025-03-05 13:11:29 - [RECEIVED] from Machine 1, Logical clock: 46, Queue length: 12
2025-03-05 13:11:30 - [RECEIVED] from Machine 1, Logical clock: 47, Queue length: 11
2025-03-05 13:11:31 - [RECEIVED] from Machine 1, Logical clock: 48, Queue length: 14
2025-03-05 13:11:32 - [RECEIVED] from Machine 1, Logical clock: 49, Queue length: 15
2025-03-05 13:11:33 - [RECEIVED] from Machine 1, Logical clock: 50, Queue length: 17
2025-03-05 13:11:35 - [RECEIVED] from Machine 1, Logical clock: 51, Queue length: 16
2025-03-05 13:11:36 - [RECEIVED] from Machine 1, Logical clock: 52, Queue length: 17
2025-03-05 13:11:37 - [RECEIVED] from Machine 1, Logical clock: 53, Queue length: 17
2025-03-05 13:11:38 - [RECEIVED] from Machine 1, Logical clock: 54, Queue length: 18
2025-03-05 13:11:39 - [RECEIVED] from Machine 1, Logical clock: 55, Queue length: 17
2025-03-05 13:11:40 - [RECEIVED] from Machine 1, Logical clock: 56, Queue length: 18
2025-03-05 13:11:41 - [RECEIVED] from Machine 1, Logical clock: 57, Queue length: 19
